"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units,Neighborhood
001-020-11,,3963 KINGS ROW ,12/09/2013,152900,2D  ,4306789,WINDERMERE 1,1984,1984,Townhse Ins,TWO STORY,1638,Fair,3,3,0,FA,PLYWOOD/FR,BUILT-UP ROC,ATTACHED,400,,0,210,MF14,0.034251607954502106,"TAEUBEL, ANTHONY M & KIMBERLY A",NO,2279 FEATHERTREE AVE,,HENDERSON,NV,89052,"RIGGS, DONALD E",   -   -,WINDERMERE 1 LT 11 BLK A,1000,1,BACA
001-041-52,,2720 GULLING CT,05/24/2013,220000,2F  ,4240805,GULLING,2007,2007,Sgl Fam Res ,TWO STORY,1568,Fair-Average,3,2,1,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,484,,0,200,SF6,0.16735537350177765,"HIBBS, ROBERT",NO,2720 GULLING CT,,RENO,NV,89503,"FRY , HARRY C",001-041-46,GULLING LT 6,1000,1,BCBC
001-041-66,,2920 BRYAN ST,07/26/2013,210000,2D  ,4262513,CHURCH HILL ESTATES,2007,2007,Sgl Fam Res ,TWO STORY,1727,Average,3,2,1,FA/AC,STUCCO/FR,COMP SHINGLE,BUILT-IN,361,,0,200,SF6,0.1543617993593216,"QUINLAN, KENDALL M & RYAN P",NO,2920 BRYAN ST,,RENO,NV,89503,"BARRETT, KENDALL M ",001-041-63,CHURCH HILL EST LT 3,1000,1,BCBC
001-052-16,,2985 ANDREA ST,04/30/2013,219000,2D  ,4232000,SUNRAY,1987,1987,Sgl Fam Res ,SPLIT LEVEL,1740,Fair-Average,3,2,1,FA/AC,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,576,,0,200,SF6,0.13298897445201874,"LIEDTKE, MATTHEW & TAUNI ",NO,2985 ANDREA ST,,RENO,NV,89503,"GRAY, DANIEL",   -   -,SUNRAY LT 12 BLK B,1000,1,BCAC
001-052-21,,2620 EMILY ST,04/08/2013,193500,2D  ,4223579,SUNRAY,1988,1988,Sgl Fam Res ,SPLIT LEVEL,1716,Fair-Average,4,2,1,FA,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,552,,0,200,SF6,0.11701101809740067,"BUTLER, PHILIP R",NO,2620 EMILY ST,,RENO,NV,89503,"MCDANIEL, AMANDA J & MARK R",   -   -,SUNRAY LT 7 BLK A,1000,1,BCAC
001-052-23,,2937 ANDREA ST,03/12/2013,140000,2D  ,4214024,SUNRAY,1988,1988,Sgl Fam Res ,SPLIT LEVEL,1862,Fair-Average,4,3,0,FA,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,552,,0,200,SF6,0.13099174201488495,WEISSGERBER FAMILY TRUST,YES,213 SADDLE CT,,FOLSOM,CA,95630,"WEISSGERBER, THOMAS L & ANNA M",   -   -,SUNRAY LT 5 BLK A,1000,1,BCAC
001-052-23,,2937 ANDREA ST,05/15/2013,220000,2D  ,4237503,SUNRAY,1988,1988,Sgl Fam Res ,SPLIT LEVEL,1862,Fair-Average,4,3,0,FA,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,552,,0,200,SF6,0.13099174201488495,WEISSGERBER FAMILY TRUST,YES,213 SADDLE CT,,FOLSOM,CA,95630,"WEISSGERBER, THOMAS L & ANNA M",   -   -,SUNRAY LT 5 BLK A,1000,1,BCAC
001-052-62,,2895 BRYAN ST,07/24/2013,264900,2D  ,4261395,_UNSPECIFIED,2006,2006,Sgl Fam Res ,SINGLE STORY,2164,Average,3,2,0,FA/AC,STN VEN/FR,COMP SHINGLE,ATTACHED,594,,0,200,SF6,0.23200184106826782,"NQUYEN, KIM CHI",NO,2895 BRYAN ST,,RENO,NV,89503,"BRIERLEY CONST CO PENSION TRST, ",001-052-14,PM 4302 LT 4,1000,1,BCBC
001-052-63,,2630 SUNRAY DR,08/27/2013,135000,2D  ,4273597,_UNSPECIFIED,2006,2006,Sgl Fam Res ,SINGLE STORY,2164,Average,3,2,0,FA/AC,STUCCO/FR,COMP SHINGLE,ATTACHED,594,,0,200,SF6,0.20739209651947021,"LERON, RONALDO P & MYLENE S",NO,2630 SUNRAY DR,,RENO,NV,89503,"DEL ROSARIO 1997 TRUST, MILA A",001-052-59,PM 4302 FR LT 1,1000,1,BCBC
001-052-63,,2630 SUNRAY DR,08/27/2013,135000,2D  ,4273544,_UNSPECIFIED,2006,2006,Sgl Fam Res ,SINGLE STORY,2164,Average,3,2,0,FA/AC,STUCCO/FR,COMP SHINGLE,ATTACHED,594,,0,200,SF6,0.20739209651947021,"LERON, RONALDO P & MYLENE S",NO,2630 SUNRAY DR,,RENO,NV,89503,"DEL ROSARIO 1997 TRUST, MILA A",001-052-59,PM 4302 FR LT 1,1000,1,BCBC
001-052-65,,2610 SUNRAY DR,09/26/2013,239900,2D  ,4283991,_UNSPECIFIED,2006,2006,Sgl Fam Res ,TWO STORY,2040,Fair-Average,3,2,0,FA,STUCCO/FR,COMP SHINGLE,BUILT-IN,380,,0,200,SF6,0.214485764503479,"GRAHAM, BRIAN & COURTNEY",NO,2610 SUNRAY DR,,RENO,NV,89503,"GRAHAM, BRIAN & COURTNEY",001-052-47,PM 4467 LT 1,1000,1,BCBC
001-052-71,,2640 SUNRAY DR,03/19/2013,210500,2D  ,4216539,_UNSPECIFIED,2006,2006,Sgl Fam Res ,TWO STORY,2040,Fair-Average,3,2,1,FA,STUCCO/FR,COMP SHINGLE,BUILT-IN,380,,0,200,SF6,0.20454545319080353,"LUNDQUIST, DONALD et al",YES,1076 PALMWOOD DR,,SPARKS,NV,89434,"BAKER, MICHAEL S",001-052-48,PM 4469 LT 2,1000,1,BCBC
